"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"78","Maine",2019,1345770,24.49532625,1.72621125,21.377598125,28.141078125,4218386,143886,3.41,-0.36,-2.96,FALSE,3.41092541080878
"79","Maine",2020,1350141,31.723275,2.2344825,27.68743125,36.442378125,4828028,149376,3.09,-0.32,-2.72,TRUE,3.09393400369675
"80","Maine",2021,1372247,36.614573125,2.57835125,31.957566875,42.05983125,5315606,156452,2.94,-0.15,-2.18,TRUE,2.94325802175707
"81","Maryland",2018,6042153,29.1297508333333,1.42033541666667,26.5215120833333,32.08783125,27979930,1201914,3.66333333333333,-0.84,-2.68333333333333,TRUE,4.29562904553371
"82","Maryland",2019,6054954,30.41648375,1.48273708333333,27.6936508333333,33.5045170833333,27341732,1034308,3.23666666666667,-0.426666666666667,-2.96666666666667,TRUE,3.78289129598666
"83","Maryland",2020,6055802,39.3886104166667,1.91788541666667,35.8666508333333,43.3828679166667,26139126,936238,3.10666666666667,-0.13,-2.68666666666667,TRUE,3.58174944334405
"84","Maryland",2021,6165129,45.4546954166667,2.21205916666667,41.3924970833333,50.0615883333333,27852280,893878,2.78,-0.326666666666667,-2.51666666666667,TRUE,3.20935305834926
"85","Massachusetts",2018,6885720,26.0767457142857,1.01261928571429,24.230825,28.1980557142857,32894104,861044,2.61666666666667,-0.52,-3.38666666666667,TRUE,2.61762411889985
"86","Massachusetts",2019,6894883,27.22794,1.05694285714286,25.3012357142857,29.4421178571429,32867162,737660,2.24333333333333,-0.373333333333333,-3.27666666666667,TRUE,2.24436779786463
"87","Massachusetts",2020,6893574,35.2537685714286,1.36609928571429,32.7635928571429,38.1156807142857,31960760,685584,2.14666666666667,-0.0966666666666667,-2.7,TRUE,2.14508040484644
"88","Massachusetts",2021,6984723,40.6860735714286,1.575175,37.81483,43.986025,32315258,710544,2.2,0.0533333333333333,-1.75,TRUE,2.19878795335628
"89","Michigan",2018,9987286,18.5555561445783,1.72995084337349,15.5620420481928,22.3330471084337,57052648,2649328,4.03333333333333,-1.23333333333333,-3.94333333333333,FALSE,4.64365475201081
"90","Michigan",2019,9984795,19.3748434939759,1.80624240963855,16.2493103614458,23.3189193975904,54654366,2076690,3.28666666666667,-0.746666666666667,-4.83333333333333,FALSE,3.79967814465179
"91","Michigan",2020,9966555,25.0910860240964,2.33832927710843,21.0447745783133,30.1969663855422,53243188,1882774,3.05333333333333,-0.233333333333333,-4.07666666666667,TRUE,3.53617818677574
"92","Michigan",2021,10050811,28.9590065060241,2.69831180722892,24.2897304819277,34.8508889156627,55915550,1884062,2.91,-0.143333333333333,-3.40666666666667,TRUE,3.36947772131366
